captured_at,capture_season,capture_week,source,season,conference,team,offense_overall,offense_passing,offense_rushing,offense_firstDown,offense_secondDown,offense_thirdDown,offense_cumulative,defense_overall,defense_passing,defense_rushing,defense_firstDown,defense_secondDown,defense_thirdDown,defense_cumulative
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Jacksonville State,0.21,0.51,0.02,0.12,-0.15,0.73,"{'total': 43.5, 'passing': 46.8, 'rushing': 1.6}",0.07,0,0.19,-0.14,0.16,0.3,"{'total': 14.9, 'passing': 0.5, 'rushing': 25.6}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,James Madison,0.24,0.33,0.18,-0.07,0.52,0.44,"{'total': 36.7, 'passing': 20.5, 'rushing': 16.8}",-0.15,-0.08,-0.07,-0.23,0.01,0.57,"{'total': -28.3, 'passing': -68.2, 'rushing': -7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Kansas,0.14,0.17,0.05,0.02,0.27,0.65,"{'total': 25, 'passing': 14.25, 'rushing': 4.5}",-0.06,0.25,-0.12,-0.04,-0.05,0.26,"{'total': -10.9, 'passing': 172.8, 'rushing': -11.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Kansas State,0.29,0.32,0.29,-0.01,0.3,1.04,"{'total': 49.7, 'passing': 23.77, 'rushing': 26.3}",-0.13,-0.19,0.05,-0.22,-0.01,0.19,"{'total': -16.9, 'passing': -126.6, 'rushing': 2.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Kennesaw State,0.13,0.12,0.24,0.18,0.08,0.34,"{'total': 18.3, 'passing': 9.2, 'rushing': 15}",0.2,0.32,0.14,0.12,0.35,0.22,"{'total': 30, 'passing': 189.3, 'rushing': 12.1}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Kent State,-0.02,0.03,-0.02,-0.01,-0.16,0.45,"{'total': -2.7, 'passing': 1.96, 'rushing': -1.5}",0.14,0.14,0.28,0.41,0.08,-0.23,"{'total': 18.8, 'passing': 102.4, 'rushing': 15.8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Kentucky,0.17,0.34,0.03,0.22,0.46,-0.22,"{'total': 28, 'passing': 24.59, 'rushing': 2.7}",0.06,0.04,0.17,-0.1,0.18,0.45,"{'total': 11, 'passing': 37.6, 'rushing': 15.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Liberty,0.07,0.25,-0.01,-0.09,0.27,0.56,"{'total': 13.5, 'passing': 19.84, 'rushing': -1.5}",0.05,0.05,0.12,-0.3,0.29,0.42,"{'total': 7.8, 'passing': 35.6, 'rushing': 9.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Louisiana,0.15,0.22,0.26,0.08,0.35,0.33,"{'total': 24.9, 'passing': 12.86, 'rushing': 26.8}",0,0.27,-0.1,-0.21,0.28,0.48,"{'total': -0.8, 'passing': 222.1, 'rushing': -9.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Louisiana Tech,0.03,0.16,-0.07,0.07,-0.07,0.47,"{'total': 4.8, 'passing': 11.79, 'rushing': -4.6}",0.04,0.12,0.02,-0.1,0.16,0.22,"{'total': 7.2, 'passing': 88.3, 'rushing': 2.1}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,Louisville,0.43,0.67,0.26,0.37,0.5,0.59,"{'total': 75.7, 'passing': 50.76, 'rushing': 25.7}",0.1,0.34,0.01,-0.04,0.31,0.04,"{'total': 20.2, 'passing': 344.8, 'rushing': 1.3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,LSU,0.17,0.13,0.2,0.04,0.05,0.55,"{'total': 35.2, 'passing': 12.09, 'rushing': 21.9}",-0.13,-0.04,-0.24,-0.15,-0.17,0.05,"{'total': -17.8, 'passing': -37.8, 'rushing': -12}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Marshall,0.17,0.37,0.02,-0.06,0.12,0.59,"{'total': 28.7, 'passing': 26.49, 'rushing': 1.5}",0.36,0.57,0.07,0.27,0.29,0.72,"{'total': 61.7, 'passing': 550.7, 'rushing': 5.3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Maryland,0.31,0.4,0.16,0.39,0.11,0.69,"{'total': 55.7, 'passing': 45.16, 'rushing': 9.5}",0.1,0.34,-0.09,-0.22,0.33,0.32,"{'total': 14.4, 'passing': 253.4, 'rushing': -6.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Massachusetts,0.29,0.38,0.28,0.1,0.33,0.45,"{'total': 43.7, 'passing': 22.15, 'rushing': 25.4}",-0.25,0.09,-0.46,-0.43,0.05,-0.15,"{'total': -33.4, 'passing': 56, 'rushing': -28.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,American Athletic,Memphis,0.29,0.61,0.18,0.25,0.4,0.67,"{'total': 72.7, 'passing': 63.2, 'rushing': 26}",0.17,0.09,0.3,0.14,0.13,0.5,"{'total': 44.9, 'passing': 118.9, 'rushing': 37.9}"
